Keyword,Sheet,Period,Value,FileType,Row,Col,Value_Col
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3339.4,10Q,25,0,3
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3276.2,10Q,25,0,9
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3079,10Q,27,0,3
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3084.7,10Q,27,0,9
deferred revenue,consolidated cash flows,Q1 2025 (10Q),57,10Q,22,0,3
deferred revenue,consolidated cash flows,Q1 2025 (10Q),54.8,10Q,22,0,9
subscription,notes to condensed consoli,Q1 2025 (10Q),623.1,10Q,6,0,3
subscription,notes to condensed consoli,Q1 2025 (10Q),536.9,10Q,6,0,9
support,notes to condensed consoli,Q1 2025 (10Q),457.5,10Q,7,0,3
support,notes to condensed consoli,Q1 2025 (10Q),407.5,10Q,7,0,9
service revenue,notes to condensed consoli,Q1 2025 (10Q),1080.6,10Q,8,0,3
service revenue,notes to condensed consoli,Q1 2025 (10Q),944.4,10Q,8,0,9
service revenue,stockbased compensation ex,Q1 2025 (10Q),6.5,10Q,5,0,3
service revenue,stockbased compensation ex,Q1 2025 (10Q),6.2,10Q,5,0,9
service revenue,notes to condensed consoli-16,Q1 2025 (10Q),143.2,10Q,7,0,3
service revenue,notes to condensed consoli-16,Q1 2025 (10Q),121.9,10Q,7,0,9
deferred revenue,key metrics,Q1 2025 (10Q),6418.4,10Q,6,0,3
deferred revenue,key metrics,Q1 2025 (10Q),5789.9,10Q,6,0,9
billings,key metrics,Q1 2025 (10Q),1597.2,10Q,7,0,3
billings,key metrics,Q1 2025 (10Q),1407.2,10Q,7,0,9
Billings,key metrics,Q1 2025 (10Q),1597.2,10Q,7,0,3
Billings,key metrics,Q1 2025 (10Q),1407.2,10Q,7,0,9
deferred revenue,billings nongaap,Q1 2025 (10Q),57.5,10Q,7,0,3
deferred revenue,billings nongaap,Q1 2025 (10Q),54.9,10Q,7,0,9
deferred revenue,billings nongaap,Q1 2025 (10Q),-1,10Q,8,0,9
billings,billings nongaap,Q1 2025 (10Q),1597.2,10Q,9,0,3
billings,billings nongaap,Q1 2025 (10Q),1407.2,10Q,9,0,9
Billings,billings nongaap,Q1 2025 (10Q),1597.2,10Q,9,0,3
Billings,billings nongaap,Q1 2025 (10Q),1407.2,10Q,9,0,9
total billings,billings nongaap,Q1 2025 (10Q),1597.2,10Q,9,0,3
total billings,billings nongaap,Q1 2025 (10Q),1407.2,10Q,9,0,9
margin %,cost of revenue and gross,Q1 2025 (10Q),81.0%,10Q,12,0,3
margin %,cost of revenue and gross,Q1 2025 (10Q),77.5%,10Q,12,0,9
gross margin,cost of revenue and gross,Q1 2025 (10Q),81.0%,10Q,12,0,3
gross margin,cost of revenue and gross,Q1 2025 (10Q),77.5%,10Q,12,0,9
deferred revenue,key metrics,Q4 2024 (10K),6360.9,10K,6,0,3
deferred revenue,key metrics,Q4 2024 (10K),5735.0,10K,6,0,9
deferred revenue,key metrics,Q4 2024 (10K),4640.3,10K,6,0,15
billings,key metrics,Q4 2024 (10K),6532.5,10K,7,0,3
billings,key metrics,Q4 2024 (10K),6399.5,10K,7,0,9
billings,key metrics,Q4 2024 (10K),5594.0,10K,7,0,15
Billings,key metrics,Q4 2024 (10K),6532.5,10K,7,0,3
Billings,key metrics,Q4 2024 (10K),6399.5,10K,7,0,9
Billings,key metrics,Q4 2024 (10K),5594.0,10K,7,0,15
deferred revenue,billings nongaap,Q4 2024 (10K),625.9,10K,7,0,3
deferred revenue,billings nongaap,Q4 2024 (10K),1094.7,10K,7,0,9
deferred revenue,billings nongaap,Q4 2024 (10K),1187.4,10K,7,0,15
deferred revenue,billings nongaap,Q4 2024 (10K),-49.2,10K,8,0,3
deferred revenue,billings nongaap,Q4 2024 (10K),-10.8,10K,8,0,15
billings,billings nongaap,Q4 2024 (10K),6532.5,10K,9,0,3
billings,billings nongaap,Q4 2024 (10K),6399.5,10K,9,0,9
billings,billings nongaap,Q4 2024 (10K),5594.0,10K,9,0,15
Billings,billings nongaap,Q4 2024 (10K),6532.5,10K,9,0,3
Billings,billings nongaap,Q4 2024 (10K),6399.5,10K,9,0,9
Billings,billings nongaap,Q4 2024 (10K),5594.0,10K,9,0,15
total billings,billings nongaap,Q4 2024 (10K),6532.5,10K,9,0,3
total billings,billings nongaap,Q4 2024 (10K),6399.5,10K,9,0,9
total billings,billings nongaap,Q4 2024 (10K),5594.0,10K,9,0,15
margin %,results of operations-1,Q4 2024 (10K),81,10K,14,0,3
margin %,results of operations-1,Q4 2024 (10K),77,10K,14,0,9
margin %,results of operations-1,Q4 2024 (10K),75,10K,14,0,15
gross margin,results of operations-1,Q4 2024 (10K),81,10K,14,0,3
gross margin,results of operations-1,Q4 2024 (10K),77,10K,14,0,9
gross margin,results of operations-1,Q4 2024 (10K),75,10K,14,0,15
margin %,results of operations-1,Q4 2024 (10K),30,10K,21,0,3
margin %,results of operations-1,Q4 2024 (10K),23,10K,21,0,9
margin %,results of operations-1,Q4 2024 (10K),22,10K,21,0,15
operating margin,results of operations-1,Q4 2024 (10K),30,10K,21,0,3
operating margin,results of operations-1,Q4 2024 (10K),23,10K,21,0,9
operating margin,results of operations-1,Q4 2024 (10K),22,10K,21,0,15
margin %,cost of revenue and gross,Q4 2024 (10K),80.6%,10K,12,0,3
margin %,cost of revenue and gross,Q4 2024 (10K),76.7%,10K,12,0,9
gross margin,cost of revenue and gross,Q4 2024 (10K),80.6%,10K,12,0,3
gross margin,cost of revenue and gross,Q4 2024 (10K),76.7%,10K,12,0,9
deferred revenue,consolidated balance sheets,Q4 2024 (10K),3276.2,10K,24,0,3
deferred revenue,consolidated balance sheets,Q4 2024 (10K),2848.7,10K,24,0,9
deferred revenue,consolidated balance sheets,Q4 2024 (10K),3084.7,10K,26,0,3
deferred revenue,consolidated balance sheets,Q4 2024 (10K),2886.3,10K,26,0,9
deferred revenue,cash flows,Q4 2024 (10K),577.8,10K,25,0,3
deferred revenue,cash flows,Q4 2024 (10K),1095.3,10K,25,0,9
deferred revenue,cash flows,Q4 2024 (10K),1177.5,10K,25,0,15
subscription,2 revenue recognition,Q4 2024 (10K),2316.7,10K,6,0,3
subscription,2 revenue recognition,Q4 2024 (10K),1898.1,10K,6,0,9
subscription,2 revenue recognition,Q4 2024 (10K),1427.0,10K,6,0,15
support,2 revenue recognition,Q4 2024 (10K),1730.4,10K,7,0,3
support,2 revenue recognition,Q4 2024 (10K),1479.4,10K,7,0,9
support,2 revenue recognition,Q4 2024 (10K),1209.9,10K,7,0,15
service revenue,2 revenue recognition,Q4 2024 (10K),4047.1,10K,8,0,3
service revenue,2 revenue recognition,Q4 2024 (10K),3377.5,10K,8,0,9
service revenue,2 revenue recognition,Q4 2024 (10K),2636.9,10K,8,0,15
deferred revenue,7 business combinations,Col 3,37.5,10K,12,0,3
service revenue,stockbased compensation ex,Q4 2024 (10K),25.4,10K,5,0,3
service revenue,stockbased compensation ex,Q4 2024 (10K),23.3,10K,5,0,9
service revenue,stockbased compensation ex,Q4 2024 (10K),18.8,10K,5,0,15
ARR,notes to consolidated fina-9,Q4 2024 (10K),31.7,10K,4,0,3
ARR,notes to consolidated fina-9,Q4 2024 (10K),29.5,10K,4,0,9
arr,notes to consolidated fina-9,Q4 2024 (10K),31.7,10K,4,0,3
arr,notes to consolidated fina-9,Q4 2024 (10K),29.5,10K,4,0,9
deferred revenue,notes to consolidated fina-9,Q4 2024 (10K),650.8,10K,5,0,3
deferred revenue,notes to consolidated fina-9,Q4 2024 (10K),528,10K,5,0,9
ARR,notes to consolidated fina-9,Q4 2024 (10K),227.7,10K,7,0,3
ARR,notes to consolidated fina-9,Q4 2024 (10K),19.2,10K,7,0,9
arr,notes to consolidated fina-9,Q4 2024 (10K),227.7,10K,7,0,3
arr,notes to consolidated fina-9,Q4 2024 (10K),19.2,10K,7,0,9
service revenue,notes to consolidated fina-11,Q4 2024 (10K),505.6,10K,7,0,3
service revenue,notes to consolidated fina-11,Q4 2024 (10K),473.6,10K,7,0,9
service revenue,notes to consolidated fina-11,Q4 2024 (10K),393.6,10K,7,0,15
margin %,power of attorney-1,Col 3,11,10K,32,0,3
deferred revenue,condensed consolidated bal,Q1 2024,2912,,24,0,3
deferred revenue,condensed consolidated bal,Q1 2024,2848.7,,24,0,9
deferred revenue,condensed consolidated bal,Q1 2024,2877.9,,26,0,3
deferred revenue,condensed consolidated bal,Q1 2024,2886.3,,26,0,9
deferred revenue,consolidated cash flows,Q1 2024,54.8,,24,0,3
deferred revenue,consolidated cash flows,Q1 2024,240.7,,24,0,9
subscription,notes to condensed consoli,Q1 2024,536.9,,6,0,3
subscription,notes to condensed consoli,Q1 2024,421.7,,6,0,9
support,notes to condensed consoli,Q1 2024,407.5,,7,0,3
support,notes to condensed consoli,Q1 2024,339.9,,7,0,9
service revenue,notes to condensed consoli,Q1 2024,944.4,,8,0,3
service revenue,notes to condensed consoli,Q1 2024,761.6,,8,0,9
service revenue,stockbased compensation ex,Q1 2024,6.2,,5,0,3
service revenue,stockbased compensation ex,Q1 2024,5.1,,5,0,9
deferred revenue,key metrics,Q1 2024,5789.9,,6,0,3
deferred revenue,key metrics,Q1 2024,4880.9,,6,0,9
billings,key metrics,Q1 2024,1407.2,,7,0,3
billings,key metrics,Q1 2024,1502.9,,7,0,9
Billings,key metrics,Q1 2024,1407.2,,7,0,3
Billings,key metrics,Q1 2024,1502.9,,7,0,9
deferred revenue,billings nongaap,Q1 2024,54.9,,7,0,3
deferred revenue,billings nongaap,Q1 2024,240.6,,7,0,9
deferred revenue,billings nongaap,Q1 2024,-1,,8,0,3
billings,billings nongaap,Q1 2024,1407.2,,9,0,3
billings,billings nongaap,Q1 2024,1502.9,,9,0,9
Billings,billings nongaap,Q1 2024,1407.2,,9,0,3
Billings,billings nongaap,Q1 2024,1502.9,,9,0,9
total billings,billings nongaap,Q1 2024,1407.2,,9,0,3
total billings,billings nongaap,Q1 2024,1502.9,,9,0,9
margin %,cost of revenue and gross,Q1 2024,77.5%,,12,0,3
margin %,cost of revenue and gross,Q1 2024,75.6%,,12,0,9
gross margin,cost of revenue and gross,Q1 2024,77.5%,,12,0,3
gross margin,cost of revenue and gross,Q1 2024,75.6%,,12,0,9
deferred revenue,condensed consolidated bal,Q2 2024,2975.3,,24,0,3
deferred revenue,condensed consolidated bal,Q2 2024,2848.7,,24,0,9
deferred revenue,condensed consolidated bal,Q2 2024,2920.9,,26,0,3
deferred revenue,condensed consolidated bal,Q2 2024,2886.3,,26,0,9
deferred revenue,consolidated cash flows,Q2 2024,161.7,,24,0,3
deferred revenue,consolidated cash flows,Q2 2024,489.3,,24,0,9
subscription,notes to condensed consoli,Q2 2024,558.7,,6,0,3
subscription,notes to condensed consoli,Q2 2024,457.3,,6,0,9
subscription,notes to condensed consoli,Q2 2024,1095.6,,6,0,15
subscription,notes to condensed consoli,Q2 2024,879,,6,0,21
support,notes to condensed consoli,Q2 2024,423.7,,7,0,3
support,notes to condensed consoli,Q2 2024,362.9,,7,0,9
support,notes to condensed consoli,Q2 2024,831.2,,7,0,15
support,notes to condensed consoli,Q2 2024,702.8,,7,0,21
service revenue,notes to condensed consoli,Q2 2024,982.4,,8,0,3
service revenue,notes to condensed consoli,Q2 2024,820.2,,8,0,9
service revenue,notes to condensed consoli,Q2 2024,1926.8,,8,0,15
service revenue,notes to condensed consoli,Q2 2024,1581.8,,8,0,21
service revenue,stockbased compensation ex,Q2 2024,6.5,,5,0,3
service revenue,stockbased compensation ex,Q2 2024,6,,5,0,9
service revenue,stockbased compensation ex,Q2 2024,12.7,,5,0,15
service revenue,stockbased compensation ex,Q2 2024,11.1,,5,0,21
deferred revenue,notes to condensed consoli-20,Q2 2024,5896.2,,6,0,3
deferred revenue,notes to condensed consoli-20,Q2 2024,5128.6,,6,0,9
billings,notes to condensed consoli-20,Q2 2024,1540.6,,7,0,3
billings,notes to condensed consoli-20,Q2 2024,1540.5,,7,0,9
Billings,notes to condensed consoli-20,Q2 2024,1540.6,,7,0,3
Billings,notes to condensed consoli-20,Q2 2024,1540.5,,7,0,9
deferred revenue,billings nongaap,Q2 2024,106.3,,7,0,3
deferred revenue,billings nongaap,Q2 2024,247.7,,7,0,9
billings,billings nongaap,Q2 2024,1540.6,,8,0,3
billings,billings nongaap,Q2 2024,1540.5,,8,0,9
Billings,billings nongaap,Q2 2024,1540.6,,8,0,3
Billings,billings nongaap,Q2 2024,1540.5,,8,0,9
total billings,billings nongaap,Q2 2024,1540.6,,8,0,3
total billings,billings nongaap,Q2 2024,1540.5,,8,0,9
margin %,cost of revenue and gross,Q2 2024,80.8%,,12,0,3
margin %,cost of revenue and gross,Q2 2024,77.1%,,12,0,9
gross margin,cost of revenue and gross,Q2 2024,80.8%,,12,0,3
gross margin,cost of revenue and gross,Q2 2024,77.1%,,12,0,9
margin %,cost of revenue and gross -1,Q2 2024,79.2%,,12,0,3
margin %,cost of revenue and gross -1,Q2 2024,76.4%,,12,0,9
gross margin,cost of revenue and gross -1,Q2 2024,79.2%,,12,0,3
gross margin,cost of revenue and gross -1,Q2 2024,76.4%,,12,0,9
deferred revenue,condensed consolidated bal,Q3 2024,3081.2,,24,0,3
deferred revenue,condensed consolidated bal,Q3 2024,2848.7,,24,0,9
deferred revenue,condensed consolidated bal,Q3 2024,2930.5,,26,0,3
deferred revenue,condensed consolidated bal,Q3 2024,2886.3,,26,0,9
deferred revenue,consolidated cash flows,Q3 2024,234.4,,25,0,3
deferred revenue,consolidated cash flows,Q3 2024,646.2,,25,0,9
subscription,notes to condensed consoli,Q3 2024,595.8,,6,0,3
subscription,notes to condensed consoli,Q3 2024,494.6,,6,0,9
subscription,notes to condensed consoli,Q3 2024,1691.4,,6,0,15
subscription,notes to condensed consoli,Q3 2024,1373.6,,6,0,21
support,notes to condensed consoli,Q3 2024,438.4,,7,0,3
support,notes to condensed consoli,Q3 2024,374.1,,7,0,9
support,notes to condensed consoli,Q3 2024,1269.6,,7,0,15
support,notes to condensed consoli,Q3 2024,1076.9,,7,0,21
service revenue,notes to condensed consoli,Q3 2024,1034.2,,8,0,3
service revenue,notes to condensed consoli,Q3 2024,868.7,,8,0,9
service revenue,notes to condensed consoli,Q3 2024,2961,,8,0,15
service revenue,notes to condensed consoli,Q3 2024,2450.5,,8,0,21
deferred revenue,notes to condensed consoli-8,Col 3,37.5,,12,0,3
service revenue,stockbased compensation ex,Q3 2024,6.3,,5,0,3
service revenue,stockbased compensation ex,Q3 2024,6.1,,5,0,9
service revenue,stockbased compensation ex,Q3 2024,19,,5,0,15
service revenue,stockbased compensation ex,Q3 2024,17.2,,5,0,21
deferred revenue,notes to condensed consoli-21,Q3 2024,6011.7,,6,0,3
deferred revenue,notes to condensed consoli-21,Q3 2024,5285.3,,6,0,9
billings,notes to condensed consoli-21,Q3 2024,1582.2,,7,0,3
billings,notes to condensed consoli-21,Q3 2024,1491.3,,7,0,9
Billings,notes to condensed consoli-21,Q3 2024,1582.2,,7,0,3
Billings,notes to condensed consoli-21,Q3 2024,1491.3,,7,0,9
deferred revenue,billings nongaap,Q3 2024,115.5,,7,0,3
deferred revenue,billings nongaap,Q3 2024,156.7,,7,0,9
deferred revenue,billings nongaap,Q3 2024,-41.4,,8,0,3
billings,billings nongaap,Q3 2024,1582.2,,9,0,3
billings,billings nongaap,Q3 2024,1491.3,,9,0,9
Billings,billings nongaap,Q3 2024,1582.2,,9,0,3
Billings,billings nongaap,Q3 2024,1491.3,,9,0,9
total billings,billings nongaap,Q3 2024,1582.2,,9,0,3
total billings,billings nongaap,Q3 2024,1491.3,,9,0,9
margin %,cost of revenue and gross,Q3 2024,82.5%,,12,0,3
margin %,cost of revenue and gross,Q3 2024,76.2%,,12,0,9
gross margin,cost of revenue and gross,Q3 2024,82.5%,,12,0,3
gross margin,cost of revenue and gross,Q3 2024,76.2%,,12,0,9
margin %,cost of revenue and gross -1,Q3 2024,80.4%,,12,0,3
margin %,cost of revenue and gross -1,Q3 2024,76.3%,,12,0,9
gross margin,cost of revenue and gross -1,Q3 2024,80.4%,,12,0,3
gross margin,cost of revenue and gross -1,Q3 2024,76.3%,,12,0,9
deferred revenue,key metrics,Q4 2023 (10K),5735,10K,6,0,3
deferred revenue,key metrics,Q4 2023 (10K),4640.3,10K,6,0,9
deferred revenue,key metrics,Q4 2023 (10K),3452.9,10K,6,0,15
billings,key metrics,Q4 2023 (10K),6399.5,10K,7,0,3
billings,key metrics,Q4 2023 (10K),5594.0,10K,7,0,9
billings,key metrics,Q4 2023 (10K),4181.4,10K,7,0,15
Billings,key metrics,Q4 2023 (10K),6399.5,10K,7,0,3
Billings,key metrics,Q4 2023 (10K),5594.0,10K,7,0,9
Billings,key metrics,Q4 2023 (10K),4181.4,10K,7,0,15
deferred revenue,billings nongaap,Q4 2023 (10K),1094.7,10K,7,0,3
deferred revenue,billings nongaap,Q4 2023 (10K),1187.4,10K,7,0,9
deferred revenue,billings nongaap,Q4 2023 (10K),847.6,10K,7,0,15
deferred revenue,billings nongaap,Q4 2023 (10K),-10.8,10K,8,0,9
deferred revenue,billings nongaap,Q4 2023 (10K),-4.1,10K,8,0,15
billings,billings nongaap,Q4 2023 (10K),6399.5,10K,10,0,3
billings,billings nongaap,Q4 2023 (10K),5594,10K,10,0,9
billings,billings nongaap,Q4 2023 (10K),4181.4,10K,10,0,15
Billings,billings nongaap,Q4 2023 (10K),6399.5,10K,10,0,3
Billings,billings nongaap,Q4 2023 (10K),5594,10K,10,0,9
Billings,billings nongaap,Q4 2023 (10K),4181.4,10K,10,0,15
total billings,billings nongaap,Q4 2023 (10K),6399.5,10K,10,0,3
total billings,billings nongaap,Q4 2023 (10K),5594,10K,10,0,9
total billings,billings nongaap,Q4 2023 (10K),4181.4,10K,10,0,15
margin %,results of operations-1,Q4 2023 (10K),77,10K,14,0,3
margin %,results of operations-1,Q4 2023 (10K),75,10K,14,0,9
margin %,results of operations-1,Q4 2023 (10K),77,10K,14,0,15
gross margin,results of operations-1,Q4 2023 (10K),77,10K,14,0,3
gross margin,results of operations-1,Q4 2023 (10K),75,10K,14,0,9
gross margin,results of operations-1,Q4 2023 (10K),77,10K,14,0,15
margin %,results of operations-1,Q4 2023 (10K),23,10K,21,0,3
margin %,results of operations-1,Q4 2023 (10K),22,10K,21,0,9
margin %,results of operations-1,Q4 2023 (10K),19,10K,21,0,15
operating margin,results of operations-1,Q4 2023 (10K),23,10K,21,0,3
operating margin,results of operations-1,Q4 2023 (10K),22,10K,21,0,9
operating margin,results of operations-1,Q4 2023 (10K),19,10K,21,0,15
margin %,cost of revenue and gross,Q4 2023 (10K),76.7%,10K,12,0,3
margin %,cost of revenue and gross,Q4 2023 (10K),75.4%,10K,12,0,9
gross margin,cost of revenue and gross,Q4 2023 (10K),76.7%,10K,12,0,3
gross margin,cost of revenue and gross,Q4 2023 (10K),75.4%,10K,12,0,9
deferred revenue,consolidated balance sheets,Q4 2023 (10K),2848.7,10K,25,0,3
deferred revenue,consolidated balance sheets,Q4 2023 (10K),2349.3,10K,25,0,9
deferred revenue,consolidated balance sheets,Q4 2023 (10K),2886.3,10K,27,0,3
deferred revenue,consolidated balance sheets,Q4 2023 (10K),2291,10K,27,0,9
deferred revenue,cash flows,Q4 2023 (10K),1095.3,10K,24,0,3
deferred revenue,cash flows,Q4 2023 (10K),1177.5,10K,24,0,9
deferred revenue,cash flows,Q4 2023 (10K),839.4,10K,24,0,15
subscription,2 revenue recognition,Q4 2023 (10K),1898.1,10K,6,0,3
subscription,2 revenue recognition,Q4 2023 (10K),1427.0,10K,6,0,9
subscription,2 revenue recognition,Q4 2023 (10K),1125.0,10K,6,0,15
support,2 revenue recognition,Q4 2023 (10K),1479.4,10K,7,0,3
support,2 revenue recognition,Q4 2023 (10K),1209.9,10K,7,0,9
support,2 revenue recognition,Q4 2023 (10K),962.2,10K,7,0,15
service revenue,2 revenue recognition,Q4 2023 (10K),3377.5,10K,8,0,3
service revenue,2 revenue recognition,Q4 2023 (10K),2636.9,10K,8,0,9
service revenue,2 revenue recognition,Q4 2023 (10K),2087.2,10K,8,0,15
service revenue,stockbased compensation ex,Q4 2023 (10K),23.3,10K,5,0,3
service revenue,stockbased compensation ex,Q4 2023 (10K),18.8,10K,5,0,9
service revenue,stockbased compensation ex,Q4 2023 (10K),15.7,10K,5,0,15
ARR,notes to consolidated fina-9,Q4 2023 (10K),29.5,10K,4,0,3
ARR,notes to consolidated fina-9,Q4 2023 (10K),95,10K,4,0,9
arr,notes to consolidated fina-9,Q4 2023 (10K),29.5,10K,4,0,3
arr,notes to consolidated fina-9,Q4 2023 (10K),95,10K,4,0,9
deferred revenue,notes to consolidated fina-9,Q4 2023 (10K),528,10K,5,0,3
deferred revenue,notes to consolidated fina-9,Q4 2023 (10K),380.1,10K,5,0,9
ARR,notes to consolidated fina-9,Q4 2023 (10K),19.2,10K,7,0,3
ARR,notes to consolidated fina-9,Q4 2023 (10K),21.2,10K,7,0,9
arr,notes to consolidated fina-9,Q4 2023 (10K),19.2,10K,7,0,3
arr,notes to consolidated fina-9,Q4 2023 (10K),21.2,10K,7,0,9
deferred revenue,condensed consolidated bal,Q1 2023,2463.3,,26,0,3
deferred revenue,condensed consolidated bal,Q1 2023,2349.3,,26,0,9
deferred revenue,condensed consolidated bal,Q1 2023,2417.6,,28,0,3
deferred revenue,condensed consolidated bal,Q1 2023,2291,,28,0,9
deferred revenue,consolidated cash flows,Q1 2023,240.7,,25,0,3
deferred revenue,consolidated cash flows,Q1 2023,205.5,,25,0,9
subscription,notes to condensed consoli,Q1 2023,421.7,,7,0,3
subscription,notes to condensed consoli,Q1 2023,312.9,,7,0,9
support,notes to condensed consoli,Q1 2023,339.9,,8,0,3
support,notes to condensed consoli,Q1 2023,270.9,,8,0,9
service revenue,notes to condensed consoli,Q1 2023,761.6,,9,0,3
service revenue,notes to condensed consoli,Q1 2023,583.8,,9,0,9
service revenue,notes to condensed consoli-15,Q1 2023,5.1,,6,0,3
service revenue,notes to condensed consoli-15,Q1 2023,4.5,,6,0,9
deferred revenue,notes to condensed consoli-21,Q1 2023,4880.9,,7,0,3
deferred revenue,notes to condensed consoli-21,Q1 2023,3657.9,,7,0,9
billings,notes to condensed consoli-21,Q1 2023,1502.9,,8,0,3
billings,notes to condensed consoli-21,Q1 2023,1159.8,,8,0,9
Billings,notes to condensed consoli-21,Q1 2023,1502.9,,8,0,3
Billings,notes to condensed consoli-21,Q1 2023,1159.8,,8,0,9
deferred revenue,billings nongaap,Q1 2023,240.6,,8,0,3
deferred revenue,billings nongaap,Q1 2023,205,,8,0,9
billings,billings nongaap,Q1 2023,1502.9,,10,0,3
billings,billings nongaap,Q1 2023,1159.8,,10,0,9
Billings,billings nongaap,Q1 2023,1502.9,,10,0,3
Billings,billings nongaap,Q1 2023,1159.8,,10,0,9
total billings,billings nongaap,Q1 2023,1502.9,,10,0,3
total billings,billings nongaap,Q1 2023,1159.8,,10,0,9
margin %,cost of revenue and gross,Q1 2023,75.6%,,13,0,3
margin %,cost of revenue and gross,Q1 2023,73.4%,,13,0,9
gross margin,cost of revenue and gross,Q1 2023,75.6%,,13,0,3
gross margin,cost of revenue and gross,Q1 2023,73.4%,,13,0,9
deferred revenue,condensed consolidated bal,Q2 2023,2587.7,,27,0,3
deferred revenue,condensed consolidated bal,Q2 2023,2349.3,,27,0,9
deferred revenue,condensed consolidated bal,Q2 2023,2540.9,,29,0,3
deferred revenue,condensed consolidated bal,Q2 2023,2291,,29,0,9
deferred revenue,consolidated cash flows,Q2 2023,489.3,,26,0,3
deferred revenue,consolidated cash flows,Q2 2023,480.6,,26,0,9
subscription,notes to condensed consoli,Q2 2023,457.3,,7,0,3
subscription,notes to condensed consoli,Q2 2023,340.4,,7,0,9
subscription,notes to condensed consoli,Q2 2023,879,,7,0,15
subscription,notes to condensed consoli,Q2 2023,653.3,,7,0,21
support,notes to condensed consoli,Q2 2023,362.9,,8,0,3
support,notes to condensed consoli,Q2 2023,289,,8,0,9
support,notes to condensed consoli,Q2 2023,702.8,,8,0,15
support,notes to condensed consoli,Q2 2023,559.9,,8,0,21
service revenue,notes to condensed consoli,Q2 2023,820.2,,9,0,3
service revenue,notes to condensed consoli,Q2 2023,629.4,,9,0,9
service revenue,notes to condensed consoli,Q2 2023,1581.8,,9,0,15
service revenue,notes to condensed consoli,Q2 2023,1213.2,,9,0,21
service revenue,notes to condensed consoli-18,Q2 2023,6,,6,0,3
service revenue,notes to condensed consoli-18,Q2 2023,4.7,,6,0,9
service revenue,notes to condensed consoli-18,Q2 2023,11.1,,6,0,15
service revenue,notes to condensed consoli-18,Q2 2023,9.2,,6,0,21
deferred revenue,key metrics,Q2 2023,5128.6,,7,0,3
deferred revenue,key metrics,Q2 2023,3932,,7,0,9
billings,key metrics,Q2 2023,1540.5,,8,0,3
billings,key metrics,Q2 2023,1304.2,,8,0,9
Billings,key metrics,Q2 2023,1540.5,,8,0,3
Billings,key metrics,Q2 2023,1304.2,,8,0,9
deferred revenue,billings nongaap,Q2 2023,247.7,,8,0,3
deferred revenue,billings nongaap,Q2 2023,274.1,,8,0,9
billings,billings nongaap,Q2 2023,1540.5,,10,0,3
billings,billings nongaap,Q2 2023,1304.2,,10,0,9
Billings,billings nongaap,Q2 2023,1540.5,,10,0,3
Billings,billings nongaap,Q2 2023,1304.2,,10,0,9
total billings,billings nongaap,Q2 2023,1540.5,,10,0,3
total billings,billings nongaap,Q2 2023,1304.2,,10,0,9
margin %,cost of revenue and gross,Q2 2023,77.1%,,13,0,3
margin %,cost of revenue and gross,Q2 2023,75.7%,,13,0,9
gross margin,cost of revenue and gross,Q2 2023,77.1%,,13,0,3
gross margin,cost of revenue and gross,Q2 2023,75.7%,,13,0,9
margin %,cost of revenue and gross -1,Q2 2023,76.4%,,13,0,3
margin %,cost of revenue and gross -1,Q2 2023,74.6%,,13,0,9
gross margin,cost of revenue and gross -1,Q2 2023,76.4%,,13,0,3
gross margin,cost of revenue and gross -1,Q2 2023,74.6%,,13,0,9
